Campaign,Campaign type,Campaign daily budget,Languages,Networks,Bid strategy type,Maximum CPC bid limit,Campaign status,Ad group,Ad group status,Keyword,Match type,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Comment
SE | Search | VVS | Gratis samtalsaudit | 30D,Search,131.50,sv;en,Google Search,Maximize clicks,60,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paused placeholder. Set 4,000 SEK total budget and CPC formula after Keyword Planner."
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,,,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,missade samtal företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,missade samtal företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svara samtal företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svara samtal företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonist efter stängning,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonist efter stängning,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonpassning företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonpassning företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svarsservice företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
